title,rating,body,date
GOOD Product But Bad Services,1.0,"It was a faulty product. I complaint to their customer care no. And they told me that their technician will pay a visit in 48-72 hrs and see to it But to our disappointment noboby ever came ! I also complained here bt that to was of no use ! Atlast we have to take it to the service center in our city all by ourself and where they very irresponsibly and casually told us ki ""Han complain to aai thi"" and they didn't care in the first place so we had to leave the product there and got the fault fixed after some days ! Now it works fine and is easy to use.. Bt their negligence is just not something that is acceptable!",9 October 2019
MADE IN CHINA,2.0,"I brought this after comparing other fryers displayed on Amazon. The reason I chose Inslsa, even though it was a bit costly than other models, is because it is shown as made in India among the queries section. This is MADE IN CHINA. I wish they are Frank enough to admit it, so that we can make a righteous choice.",16 June 2020
Don't Buy-nsensitive Customer Care..Hopeless Service Centre.Irresponsive Customer Care,3.0,After a couple of months of use--the on/off Switch has stopped workingThe Customer Care is not respondingThey finally responded and asked e at home between 1230 to 5 pm else bring the Productas the Service Centre works only between this petiod Monday to Sat,13 September 2020
Doesn't work anymore Amazon is sell so cheap quality products,1.0,Its broken in 1-2 months very light use. The food pan in out automatic ON OFF switch is broken. Doesn't work anymore Amazon is sell so cheap quality products,31 October 2019
(Almost) the perfect airfryer,4.0,"I'm reviewing this 3 months after my purchase. I use this every weekend. 90% of usage is to make frozen items like chicken popcorn, nuggets, shami kebabs, and frozen samosas.. The device does a great job of cooking these.. The timer and temperature dials are easy to use.  The only problem I've had with the device is that the pan has started to erode in 2 months of light use.. I use a soft sponge to clean it, so that the coating doesn't come off, but in certain parts of the pan rhe coating has come off, which means sometimes food sticks while being cooked",17 October 2020
Worst product,1.0,Helo I have purchased hairdryer of Inalsa dry light on 24 of August  2020. On 19 August  2020  I was using  airfryer first time just opened seal pack and using  it but that was not working evening  that was on heating up .It's  really unknowning a brand new one seal pack air dryer is not working first  time .I have spent 6000 rs for the please  sort this  out for me I have purchased  through AmazonRoopa Saini7859891122,21 September 2020
Good Must have product.,5.0,Very good product. Used it continously for 1 hour @180 degrees. Gave very good results on chicken breasts as well as thighs. Must have product in kitchen. Hoping that it does not get burnt on further usage.Also good service on dealer part as they replaced the initial damaged product received within 2 days without any hassle.,3 January 2021
Marvellous and trustable product,4.0,Excellent product which is very easy to use. Gives delicious taste. Instructions provided by the seller is very helpful. Couldn't imagine such a nice product with this price range.Thanks a lot to Amazon for providing a wonderful product.,7 February 2020
Perfect product at perfect prices.,5.0,"I wanted to buy an air fryer since long so i bought this inalsa one because i researched alot in the market offline as well as online and many people suggested this one. It is reasonable in price and amazing in quality and also the frying/baking tray is very spacious (2.9L) which is good enough for minimum for a family of 4. It is a very good and healthy alternative for the people like me who love fried food but, are also cautious about their health. I tried alloo tikki in it and it turned out amazing. Crispy on the outside and soft on the inside and the best part was that very very less oil was used. In love with the product. And the delivery service was also very quick. It came early even before the date which was given. And icing on the cake for me was that i bought it in Great Indian Festival sale on Amazon and I got it at an amazing and very reasonable price of Rs 3945. It just wish one thing that they included a grill stand in the box.",18 October 2020
Good But not Best,4.0,"I have not seen other compeny Air fryer so I can not compare ..About this product I make 🍟 but it's not that mark .. uneven cooking was seen , one side of 🥔 was cooked and other raw even though I shake them several times during cooking .. And same was with chicken wings ...",21 December 2019
Economical and tasty food,5.0,"I was not sure whether buying an airfryer would prove useful but I must say the Inalsa airfryer is so easy to use that I am using it nearly everyday. I have made a number of non veg items like chicken Tikka and fish ....awesome. It is also good for French fries, stuffed capsicum and patal, heating up patties and pizzas and roasting nuts. Best of all it is economical compared to other brands.",26 December 2020
Excellent product. Don't think just go for it,5.0,Using it for a month now. Good product easy to use solves both the purpose frying and otg.Absolutely love it 😍.This is my 3rd Inalsa product. I've been an Inalsa customer for more than 17 years . I have a good processor and still works like a charm.Don't think twice just go for i t,11 February 2021
Defective piece was sent,1.0,"Please dont but from this seller. Was sent defective piece. Had to go on to a call with customer care for  4 hours to explain the issue. Finally, they asked me to go to a service center to get it repaired as the price of the air fryer is too less to get a technician sent over. In these CoVid times, I had to search for a service center and they took the item for a week to get it repaired. Horrible and disappointing experience.  I am sure the item was defective - Do not but from this seller.",21 September 2020
Go for it.,5.0,"Am writing this review after 12 days of use.Made fish fry, Chicken sheek kabab, onion basen pakoda, french fries.Just marinate and keep inside. Tats it.Chicken sheek kabab; I used 150 degree. But took so much time. So for next batch kept the temp at 200 degree. It worked wonder.",8 November 2020
Worst experience,1.0,Received a defective product... The customer service of inalsa is very poor.... Registered a complaint at inalsa customer service... There was no response.... I have returned the product...,7 July 2019
A must product for every kitchen,5.0,"Must item for who loves fried foodAs I love pakora and chicken fry and who can't eat without fryums, I found this very useful and can eat guilt free.Love the crispy texture of foodI doubtedly bought this bcoz there are other high priced fryers in market but now feeling happy that I bought thisVery efficient at low price 👍",23 October 2020
Happy purchase,5.0,"Your browser does not support HTML5 video.


   I must say after much analysis of brands with Inalsa air frier I am happy with this purchase. It's really nice, easy to handle, can cook from a papad to soya chaap. Healthy way of cooking over Microwave and deep frying.",29 January 2021
Worst service. Poor quality product.,1.0,"The product had a manufacturing defect due to which there was no heating. From past 8 mobths, I have only been chasing the customer support executive, while the product sits useless on my kitchen shelf. I would never recommend anyone to buy this product.",27 November 2019
WORTH OF MONEY,5.0,"Your browser does not support HTML5 video.


   Guys if you are not buying the product  only because of lower Price then this is the one product which COST LESS and MORE EFFECTIVE. I am writing this review after a month usage and have no issues. The coating of pan is of non stick and material used is pretty solid. Size of pan is large as compare to other brands.You can make everything in this Kachori, Namak Pare, Matthi, Stuffed Capsicum , Air frying Potato, Bread Roll , Frozen Food etc.GO FOR IT",7 September 2020
Good one,4.0,"I did a lot of research before buying an air fryer and finally shortlisted a few. We are a family of 5, so I was most inclined to buy a larger size one. This is one of them on my watchlist.I grabbed this one during the offer price for less than 4k.This product really reached my expectations in all aspects. . Easy to use, easy to clean, food taste everything is outstanding.Con: Only con, for a week or so, I smell the plastic/something in the food, but now after a week or so, this is all good now.Overall happy with the purchase.",1 November 2020
Awsm product,5.0,"Well, this is my first air fryer.I must say its a wonderdul product. I made French fries , the very first time nd my kids were super happy. There is a booklet for help regarding temperature  control, oil quality  nd of ofcourse a few  recipes. Now, I can make lot many things using almost no oil nd still crispy nd good taste wise",31 October 2020
Every household must buy item,5.0,My wife is looking for product which is easy to use and clean as this Air fryer she want to use in every 2 to 3 days . Looking to extensive usage this ease in usage and cleaning is key sucess factor . It is really a good on both aspect . We rated as 4.5 out of 5.Capacity wise it's excellent . After doing lot of reserach on various model we have go with this model. It's cost effectice in comparision of top make and model. It's really value for money . Go for it.I have written this review after one month of usage .,1 December 2020
Good buy,4.0,"A very useful and cost effective product. Can be used for various purposes like frying , baking , roasting etc.  Moreover french fries of excellent quality can be prepared in 20 odd minutes with 1 tablespoon of oil. Interesting gadget to have at home.It’s absolutely worth the money!!! If only the heating could have been more than 200 that would have been great but for the price this is really really nice product. But the time taken was more than 20mins. So yes it’s a bit slow but a very good product.",20 December 2020
"Damaged product recieved, weak handle",4.0,Original package had a hole on side and the product had broken handle. Received replacement which is working fine. One area of concern (reason for not giving 5 stars) is the handle to the basket is made of plastic and with no reinforcement the handle is very delicate. There is always a fear that it might break. If the handle had some kind of metal reinforcement in center then this fryer is best in its lot.,24 October 2020
"Rust air frier, opened box,",1.0,"Air frier is just delivered..First of all package was not even sealed by tape.  It was delivered opened box.. can't expect this thing from AmazonI opened and checked it. The lock system is not working, the container comes out without pressing buttonThe inner container is have rust on the boundaries of container..and at the bottom also. I'm attaching pics of rust..I'm requesting exchange.  Let's see if the another product comes right.. I'll update my reviewHope the second product will come genuine.",26 October 2020
Sturdy but utility product,4.0,Useful and but bucket size is small for family of 4For second serving you have to wait for 20 minutesCooks well with a spoon of oilYou have to flip the product to other side and go for second round to get a fully cooked stuffBucket remain super hot take all precautions while using it,6 October 2020
Fantastic product at most competitive price (Gadar),5.0,Fantastic product at most reasonable price. Instant hit in my kitchen and family. Does toughest jobs very easily. I can utilize my time for other important jobs while the Inalsa air fryer is doing my cooking jobs.,28 January 2020
Incomplete product,1.0,No user manual or booklet provided with the product ! How am I supposed to know how to it works??,29 December 2020
Healthy option to cook and great value.,4.0,Its been a couple of weeks I am using it. Going great so far. Cooks really well with hardly any oil. Very healthy and tasty.Quality of plastic can be a tad better but ofcourse I got what I paid for.,16 August 2020
Defective item,1.0,"Received defective product. Not able to return as Amazon doesnot have the return policy. They have only replacement. In the name of discounts, Amazon and their team is clearing off the defective items. Not reliable amazon india. ALSO DO NOT BELIEVE THEIR NO COST EMI PLANS. DO NOT FALL PREY TO AMAZON INDIA.THEAE LURING PLANS ARE ONLY BENEFITTING AMAZON INDIA. BANKS ARE ALSO SUPPORTING THIS MENACE.",31 October 2020
Very good,5.0,"Well to be honest , I had minimal expectations from this product however until now I have to admit this product is amazing 🤩 ..at the available price point I believe this is just the best option.. go for it 👍🏼",25 November 2020
Replace my air fryer please,1.0,"I am from Port Blair, Andaman and Nicobar Islands. On 11th feb 2021 i received one INALSA air fryer during my trip to Chennai. I used the air fryer only once but noticed that its body is getting very hot and from the next day it stopped working. Is there any possibility to replace it now?",21 March 2021
Decent Product but little faulty,3.0,Bought one recently and have started making a few items - they are coming out good but somehow feel the product is a little faulty - basket doesn't close properly and the timer doesn't beep when it goes off. Not too sure if it is my particular product or with the product in general.,17 August 2019
Genuine Review- Worst product,1.0,Worst ever product purchased. Never ever buy Inalsa products. Timer stopped working in just 2 months. Now customer care guys are not responding.The reviews here given by people are false just to extend 6 months warranty but what will be the use of that because Inalsa will not help you if you get any issue with the product.,8 February 2021
Quality not upto the mark,2.0,"It was working quite well in the beginning. However within a couple of weeks it started declining. Two major issues found: One design defect, pan release push button would get stuck. This happening on regular basis. They can solve this problem simply by providing stopper to limit the push button movement.Second one, Thermostat is of poor quality, stops at 5 minutes trying to each their service center, but it is closed in Bangalore.",5 September 2020
Easy to use and Worthy for Money!!,4.0,"Overall i would say it is good and worthy for the money. Its easy to cook and most importantly with minimal oil. The only issue i am facing currently with ""Basket release button"", its getting stuck inside after pressing the button and unable to release back. Since the complete basket is hot to handle, we need to be extra careful while using it.",8 November 2020
"Easy to use, great taste with minimal oil",5.0,"I got it for for a steal on festival sale. There is no product booklet with it so had to search google about how to operate. Once done, the first lot of fry chicken came out bad. That is where all the bad things ended. Since then it is excellent so far. Everything come out so perfect. Taste is great. Happy to have it.",12 November 2020
A convenient healthy option for people to enjoy all the food options!,5.0,My mother in law and myself really wanted this so that we could enjoy all the fried stuff in a more healthy way :) its very easy to use and ensures all the flavors are intact in whatever you are cooking! The best part about this is that no extra preparation is required and its very convenient to clean after use! All in all an amazing buy :),7 February 2021
Pathetic Air fryer by Inalsa,1.0,Pathetic product by Inalsa! The top part heats up vigorously with a foul burning smell! The product on arrival was not in a good condition and deliberated with a broken box and no plastic packaging on the airfryer at all - seemed like a return item being thrown at a new customer. Would definitely not recommend it to anyone at all!,24 August 2020
Value for money,5.0,Received in good Packing. Performance is good. Warranty for 2 Years is an extra feature of this product. Though I used sparingly I find no problem for other items as there is no much automation is required. We can happily purchase it.,20 August 2019
Excellent air fryer increasing your life span...,5.0,"Minimal oil making maximum life span ...... This fryer helps me to make potato wedges, mini samosa, cheese shots, aloo chat, stuffed capsicum or stuffed tomato, cocktail pizza and alot more dishes....",23 September 2020
Worth buying,5.0,Its an amazing product. Just what i expected it to be. I ordered a 4.2lt capacity air fryer and it is enough for a small family. The tikkis I made were crisp and just as flavorful as it should be. Great.,24 October 2019
Good product,4.0,"Its good product and easy to use, only try once so no feedback about durability; will write more once I tried it properly;Issues with packaging - I have replaced the product, and this time I got the product in proper packaging, but the first time I got the product in the worst condition, that's the area company needs to work.",9 August 2019
Must have for All Health Conscious,5.0,Awesome product at a very descent price.It has changed the way of cooking foodNow I can eat FRIED items without using OIL..Thanks Inalsa for such a lovely product. A must have for all health conscious individuals,20 March 2021
Skip this for a Philips,2.0,"The eject button stopped working two weeks after purchase. It's stuck. Amazon decided against helping me out. The frier gives off too much heat around it. The radius is easily 3-4 feet. This is my second Inalsa product that is of such poor quality. If I were you, after this experience, I would pay a bit more and get a Japanese brand.",11 September 2020
Pleas ignore this item,1.0,"Body finishing is below par , tempreture control wheel is so ugly. At first sight it looks a like an unbranded assembled price.Works only for 5 minutes after that totally dead. Waste my time and my chiken also",24 August 2019
Loving it!,5.0,Very useful product for health conscious people like me and it's very helpful as we can fry almost everything ranging from French fries to sizzler. I love this product and I highly recommend everyone to buy this. But I would like to add something that the air fryer should have a pause button,18 October 2020
Superlative product.. great pricing,5.0,Absolutely flawless.. very simple to operate.. easy to clean... very flexible to use... very aptly pricing too,25 January 2021
Must have applience for healthier life style,5.0,Airfryer is very good and serves the purpose. I perticularly purchased it to make non veg items oil free. It is very good and i got it im just 4150 during great indian sale. :-),18 November 2020
It is so GREAT..Just Go for it,5.0,It is really easy to use.. first time I tried Tandoori chicken and it was so yummy. Unlike tawa or oven it was juicy from inside and right texture from outside. My wife is so haapy with the product that she will order one more for her mother. Thank u Inalsa,7 November 2020
Satisfied,4.0,"I am totally satisfied with the product. Cooks well, very less oil consumption, will take some time to develop a taste for its food.",24 October 2020
poor quality product,3.0,Had to return the product the next day because of poor quality of the locking system. the locking system became serviceable after a few operations on the first day itself. The fryer is useless without the locking system.,21 August 2020
Poor built quality,3.0,Built quality very poor. Handle not working within 15 days. Plastic smell in early use. Extremely difficult to clean food basket (food stick to basket holes),12 September 2020
Adding convenience and health to your kitchen,5.0,"Inalsa air fryer is easy to use and helps cook with very little to no oil. Use a foil paper in the basket to avoid oiling of the pan. The temperature and timer settings are manual so very helpful if you want to cook at your own pace. I've tried alloo tikkis, fries and grilled paneer and they turned out really well.",10 November 2020
A must have appliance !,4.0,"The INALSA air fryer has been my companion in the kitchen for almost a week now . It is very easy to use , makes absolutely no sound with the flavour of the food being lipsmacking , I must say this buy is value for all the money you pay !",12 June 2020
Good Buy!,5.0,"Its a good product, really a good buy if you're health conscious.It uses very less oil and is very easy to use.Also its worth the price they are offering.",14 August 2020
Up to the mark,4.0,Product is up to the mark. I have made fries in it & that was pretty yum. Finally after returning Prestige PAF 4.0 & buying Inalsa makes better choice.,4 March 2019
"Nycc product at affordable price, must buy",5.0,"Really nice product from inalsa and it's in budget of everyone plus the capacity is also good enough ,I review this after nearly 1 week use air fryer works really well ,I really wanna refer this to everyone who wants a good air fryer at that price range",13 March 2021
Air frier became nonfunctional within gaurentee period,1.0,"Air fryer purchased on 14th June 2020 stopped functioning in feb 2021. Technician from Inalsa came today and said that motor needs to be replaced. Instead of replacing the defective motor , we need replacement with new unit as it is still under gaurentee period.",27 March 2021
Inalsa,5.0,Inalsa Airfryer is so good and easy to use. Definitely worth buying.Food cooks easily especially those that need to be crispier outside and soft inside. I have posted 2 images too to just show how Inalsa air fryer can cookThe product is good but needs to handled carefully and softly.I love this product.,25 July 2020
The most disappointing product I ever bought on amazon,1.0,It’s a failure. Stopped working twice after one day of purchase. Both times. Returned for refund. DO NOT BUY...,18 July 2019
Damaged,2.0,This product was damaged when I opened the box. So returning....,13 March 2019
Quality of product is as cheap as its price,1.0,Since the cost is less you might be tempted to go for this but it does not air fry the items deep inside only on the above surface. Better go for phillips . Also it gives a smell of burning plastic when used.,2 August 2020
Stopped working after 1 use + Missing items listed on box,1.0,"ordered this after looking at majority positive reviews. However, the product stopped working after 1 use. Doesn't power on any more. The Box is missing user guide and recipe book as listed on the box. I will contact support to get it fixed or possibly replaced.",6 August 2020
Damaged product.,1.0,Damaged product received. The power or heating light does not turn on. Received a more damaged product in exchange with broken handle. Returning it now.,23 June 2019
Seems to be good,4.0,I have just received the product and used it a couple of times. Serves the purpose. Will update later,23 January 2020
Excellent,5.0,Easy to use and gpod quality product.. Must buy for a family of 4 and if you are on a diet. I just can't explain how crispy and tasty my chicken nuggets and fries came out to be.,20 October 2020
Ok ok product,4.0,"I have got a bit defective product, wherein coating at handle got chipped after some time",10 December 2020
Bad Quality,1.0,I think I made a mistake buying this... Right side of the body is damaged as mentioned in one of the reviews also... Asked to replace... Don't know if the the replacement piece shall be ok or damaged... fingers crossed,19 July 2019
Truly amazing product,4.0,Bought this product less than a month ago and tried it a couple of times.. I'm enjoying lot of frozen and other items which we are able to make absolutely non-sticky and non-oily. Fully recommend this product. It's so easy to use and it doesn't spoil the flavour of the items.,27 October 2020
Superb,5.0,"Extremely convenient, can be fried without any oil. It's been 3 days that I got it and have cooked frozen snacks and fish fry. Both turned out to be crispy and tasty as of fried in oil.Will post again after few days of use.",31 October 2020
Easy cooking quality is not good,3.0,Good-On-time delivery.Cooking is easy.Bad-Plastic quality is not up to the mark.In first use the lock of bucket gets locked which was unable to open.,17 August 2020
My bad luck,1.0,Received a non working set which was neither replaced nor refunded,2 April 2021
Good and easy to use product,5.0,Product quantity is good and it's easy to use without demo you can make out how to use..best product in this price range. Product is good for mid size family.good job Inalsa.  Once will use more will share details,26 October 2020
Worth the money,5.0,Was very sceptical at first but with the 4 star rating of amazon took the chance of ordering this instead of the Philips one and was very happy to receive this. It has been working very nicely till now and there are some very happy eaters at my home.Cheers !!,28 August 2020
"Convenient, healthy, low-maintenance",5.0,"Inalsa air fryer is very convenient to use, saves up a lot of oil & keeps us healthy & light. It is low maintenance & easy to clean. We fried french fries & they got ready in no time & we enjoyed our fries guilt-free!",6 March 2021
Good product!,3.0,Good product though I had to replace the first product delivered to me as it was broken inot pieces when delivered. I wish the cooking booklet had some more vegetarian recipes too as not everyone is a non vegetarian.,1 April 2021
Easy to use and clean,5.0,Reasonable price as compared to other brands. Works quite well. Loving the amazing food that my wife cooks in this. Aloo tikki is cooked perfectly im it.,3 May 2019
Amazing product,5.0,"Made amazing fries, chicken, crispy corn and all tasted so nice. No difference noted. just brushed with a tsp oil and all was done. The top does get very hot sometimes but overall the product is very good and really delivers",24 August 2020
Value for money,5.0,"Excellent product, very crisp fries, spring rolls with virtual no difference in taste but more healthy.  Easy to use & maintain.",19 February 2021
Think before you purchase.,1.0,The product was delivered on 19th aug 2020 and from 15th Sept 2020 it stopped working.  Tried contacting customer care but nobody picked up the call till today . Have lodged complain but its disheartening to buy and within 25 days it stops workng .,24 September 2020
Inalsaaaaaaa,2.0,In product only one think is -ve the main  neck is weak anytime break,31 January 2021
Great product with no oil requirements,5.0,Absolutely loving it.Tried the french fries and they are simply awesome. I used only few drops of oil and some herbs. Within 15 minutes the fries were perfectly crispy.I will try some more recipes and keep posting further.Really happy.,11 August 2020
Coating of the cooking pan removed with first cooking.,3.0,Ordered for my sister in law in Pune. Coating of the cooking pan removed with first cooking.,8 October 2020
A great product,4.0,"It is quite an easy to use product that makes the food tasty without comprising the health, the flavours are exactly the same as of deep frying them. Overall a great product",10 August 2020
real disappointment,2.0,only after a few uses the fitting of the drawer was not connecting. so now we have to put a wad of paper so that the point connects and then the fryer works. never again.,15 October 2020
Excellent,5.0,Good product and also delivered on time. Recommended,25 January 2019
Worth Buying,5.0,Easy to use and friendlyGood Capacityworth buying product,4 December 2020
Taste with health,5.0,It cooks really well. Very convenient and healthy way of cooking.,1 November 2020
Good one,5.0,They get heated soon and are good. I made french fries and they came out good,8 October 2020
Decent Buy,4.0,Product is easy to use. Decent value for money. The market however has more advanced air friers with electronic controls at comparable prices.,19 June 2019
Warranty card and instructional manual missing,2.0,Got the product yesterday and opened the box today. To my surprise did not find the instructional manual and warranty card. Wondering if I got a used/returned pieceAlso how do I get the missing papers,31 July 2020
An awesome Air Fryer which is easy to use and does the job,5.0,Inalsa Fry Light Air fryer is easy to use and do the job well. At the current price its a steal. Guys u can go for this incredible air fryer.,24 October 2020
Great,5.0,The product was looking great. Easy to use. Easy to clean. Just unwrap ours new inalsa air flyer.,22 January 2021
Good product,4.0,"It is a good product, reasonably priced. It is very easy to operate and cleaning is hassle free. Gives good flavour with little oil.But the plastic quality could be better",27 February 2021
Good Product,4.0,I had to replace 1st product that I received. Since it was damaged and had a lot of scratches. The 2nd one I received was perfect and it works great.,23 March 2021
Need to buy and gift,5.0,Very Nice and easy to use and also inalsa have own app to handle any type of query..this is my first experience and it was very  GoodWe made French fries and pizza and really amazing testy,8 December 2020
Heathy Alternative,4.0,"I tried fries, garlic bread and fritters. With right recipe, air fryer can do wonders. Not as good as fried food but still good enough given the heath benefits. Good product by Inalsa for this price range.",8 November 2020
Smart and Useful for oil free cooking,4.0,"Beautiful look with smart design. Easy to use. Useful for healthy cooking. Though it is a Spain product but Like other Most of the air fryers ,it is also made in china . Please start production in India.",26 August 2020
Poor kitchen appliance-.Inalsa Airfrier,4.0,"Iti purchased Inalsa  airfrier in june'20, but it stopped working within less than two months ( during 3rd use). How can I avail warrenty. It is NOT  a return for money spent",22 July 2020
Very Useful,5.0,"Excellent product, value for money",20 February 2021
Good,4.0,I have been using this airfryer from inalsa from last month.I think its good for this price range.The only problem I felt is that it overheats if used for a long time,19 February 2021
It's a good product.,4.0,Really easy to use. It cooks almost everything so quickly and oil-free. The only complaint I have with the product is the coating. I wish the coating didn't come off that quickly and easily... Overall it's worth the price!,3 September 2020
Does its work efficiently..,5.0,I am happy with my purchase. Excellent product in this price range. Thanks Inalsa..,16 August 2020
Worth buying,4.0,Very nice product..easy to use..it make great cakes.. worth the price..I highly recommend this.,31 October 2020
Fryer review,4.0,Thanks Inalsa for helping us with this new Air Fryer to help us live a more healthier lifestyle by reducing the oil content from our daily food.. Product seems to be quite good with simple to use operations.,26 October 2020
Excellent product.,5.0,Easy to use and best.,22 March 2021
Great product and an Amazing price.,5.0,Really enjoyed using it and enjoyed more eating what I cooked.  Really happy. Wish I had ordered it earlier. Just go through the instructions and you will realise that it is so simple to use.,18 January 2021
Poor product and service by Amazon,1.0,Very badly handled by Amazon delivery. No warranty card. No bill. Seems that product is used. I decided to return immediately. Friends buy from local shop . Its better,16 August 2020
No heat no cooking,1.0,"Excitement lost AirFryer is not heating at all as required... Not even 10* heat wasted time, energy, money need replacement and assistance... If this company Product is not worth need money back.",3 August 2020
BUY BUY...,5.0,Worked perfectly well...liked it...hope so it will wrk fine in the future too...worth purchase 🧡,12 August 2020
Ease of use,5.0,Got it a week back. Used a couple of times to make aloo patte and cheese balls.Very easy to use. Taste comes out great.Recommend the product!,3 February 2021
Very nice product,4.0,"Easy to use, bakes even cakes well. But ideal for frying.",6 August 2020
A boon for health conscious people,5.0,it is an awesome product. I love the dishes that come out of it .it's very crispy. much better than i expected. MY FAMILY CAN EAT HEALTHY FRIED FOOD !,11 November 2020
Inalsa air fryer,5.0,Great product for health conscious people who wanted to have taste in food nd want to have good food. Received today and used today. Easy to use and very sturdy and strong product.,26 October 2020
You could make the product better by making a change to the release lever.,3.0,The product is OK.It has a difficult handle and one tends to forget not to press the release lever while handling the hot food.,11 November 2020
Good product in reasonable price 👌,5.0,"Looks wise it is very good, capacity is also great,easy to use, easy to clean..Made some French fries which turned out to be very tasty let's see what happens in long term use.",16 January 2021
Excellent product.,5.0,"Quick delivery by Amazon. Got it at a great price. Excellent product, very easy to use. The box also contains a very thorough instruction manual and a cook book. Provides a wonderful cooking experience.",9 August 2020
A Value for Money Air Fryer,4.0,It's a value for money air fryer. Cooks well and is easy to use. It is much cheaper than Phillips and has 2 years warranty. You can very replace it again in few years at this price.,13 October 2020
Inalsa air fryer rocks,5.0,"Awesome product, stay healthy with cooking on this one.It's amazing product  at very decent price.I bought it at 4320 and trust me its totally worth it...loved this",6 August 2020
Frying without oil is the most important thing.,4.0,Product is really good as it's advisable for health and fitness.Moreover we can cook almost every favourite fried dishes which we pretend to have for more oil.,1 March 2021
It’s easy to operate,5.0,It’s good as oil free products can be prepared,6 December 2020
